symbol,datetime,open,high,low,close,volume
AAPL,2024-06-27 22:00:00,215.77,216.07,210.3,210.62,82542718
AAPL,2024-06-30 22:00:00,212.09,217.51,211.92,216.75,60402929
AAPL,2024-07-01 22:00:00,216.15,220.38,215.1,220.27,58046178
AAPL,2024-07-02 22:00:00,220.0,221.55,219.03,221.55,37369801
AAPL,2024-07-04 22:00:00,221.65,226.45,221.65,226.34,60412408
AAPL,2024-07-07 22:00:00,227.09,227.85,223.25,227.82,59085861
AAPL,2024-07-08 22:00:00,227.93,229.4,226.3721,228.68,48169822
AAPL,2024-07-09 22:00:00,229.3,233.08,229.25,232.98,62627687
AAPL,2024-07-10 22:00:00,231.39,232.39,225.77,227.57,64710617
AAPL,2024-07-11 22:00:00,228.92,232.64,228.68,230.54,53046527
AAPL,2024-07-14 22:00:00,236.48,237.23,233.09,234.4,62631252
AAPL,2024-07-15 22:00:00,235.0,236.27,232.33,234.82,43234278
AAPL,2024-07-16 22:00:00,229.45,231.4599,226.64,228.88,57345884
AAPL,2024-07-17 22:00:00,230.28,230.44,222.27,224.18,66034585
AAPL,2024-07-18 22:00:00,224.82,226.8,223.275,224.31,49151453
AAPL,2024-07-21 22:00:00,227.01,227.78,223.09,223.96,48201835
AAPL,2024-07-22 22:00:00,224.365,226.94,222.68,225.01,39960260
AAPL,2024-07-23 22:00:00,224.0,224.8,217.13,218.54,61777576
AAPL,2024-07-24 22:00:00,218.93,220.85,214.62,217.49,51391199
AAPL,2024-07-25 22:00:00,218.7,219.49,216.01,217.96,41601345
AAPL,2024-07-28 22:00:00,216.96,219.3,215.75,218.24,36311778
